epoch,step,train/acc_epoch,train/acc_step,train/grad_norm,train/loss_epoch,train/loss_step,train/lr,val/acc,val/loss
0,0,,,,,,,0.0,3.0874722003936768
0,0,0.051948051899671555,,,3.055973768234253,,,,
1,1,,,,,,,0.0,3.095898389816284
1,1,0.051948051899671555,,,3.055973768234253,,,,
2,2,,,,,,,0.0,3.113046646118164
2,2,0.07792207598686218,,,3.0359461307525635,,,,
3,3,,,,,,,0.0,3.13920259475708
3,3,0.10389610379934311,,,2.9983503818511963,,,,
4,4,,,,,,,0.0,3.1761701107025146
4,4,0.10389610379934311,,,2.950051784515381,,,,
5,5,,,,,,,0.0,3.2274563312530518
5,5,0.11038961261510849,,,2.901310920715332,,,,
6,6,,,,,,,0.0,3.2921314239501953
6,6,0.11038961261510849,,,2.8586251735687256,,,,
7,7,,,,,,,0.0,3.3631324768066406
7,7,0.12337662279605865,,,2.820509433746338,,,,
8,8,,,,,,,0.0,3.433485746383667
8,8,0.13636364042758942,,,2.7863047122955322,,,,
9,9,,0.1428571492433548,0.7725606560707092,,2.756129264831543,0.0002699999895412475,,
9,9,,,,,,,0.0,3.5004971027374268
9,9,0.1428571492433548,,,2.756129264831543,,,,
10,10,,,,,,,0.0,3.5649991035461426
10,10,0.15584415197372437,,,2.7279345989227295,,,,
11,11,,,,,,,0.0,3.620727062225342
11,11,0.1428571492433548,,,2.7016897201538086,,,,
12,12,,,,,,,0.0,3.6646978855133057
12,12,0.15584415197372437,,,2.679931640625,,,,
13,13,,,,,,,0.0,3.696085214614868
13,13,0.16883116960525513,,,2.6597297191619873,,,,
14,14,,,,,,,0.0,3.718747138977051
14,14,0.1753246784210205,,,2.640500068664551,,,,
15,15,,,,,,,0.0,3.7377524375915527
15,15,0.1818181872367859,,,2.623028516769409,,,,
16,16,,,,,,,0.0,3.7562386989593506
16,16,0.1818181872367859,,,2.605958938598633,,,,
17,17,,,,,,,0.0,3.7744362354278564
17,17,0.16233766078948975,,,2.5891058444976807,,,,
18,18,,,,,,,0.0,3.7913026809692383
18,18,0.16233766078948975,,,2.5727450847625732,,,,
19,19,,0.18831168115139008,0.3732011616230011,,2.5563971996307373,0.00029265848570503294,,
19,19,,,,,,,0.0,3.8070530891418457
19,19,0.18831168115139008,,,2.5563971996307373,,,,
20,20,,,,,,,0.0,3.824101448059082
20,20,0.2142857164144516,,,2.5408637523651123,,,,
21,21,,,,,,,0.0,3.8402347564697266
21,21,0.22727273404598236,,,2.524871349334717,,,,
22,22,,,,,,,0.0,3.850128412246704
22,22,0.22727273404598236,,,2.508169174194336,,,,
23,23,,,,,,,0.0,3.851165533065796
23,23,0.22077922523021698,,,2.4911229610443115,,,,
24,24,,,,,,,0.0,3.851656198501587
24,24,0.22727273404598236,,,2.4739136695861816,,,,
25,25,,,,,,,0.03125,3.859389543533325
25,25,0.2467532455921173,,,2.456932783126831,,,,
26,26,,,,,,,0.03125,3.8641817569732666
26,26,0.25974026322364807,,,2.439337730407715,,,,
27,27,,,,,,,0.03125,3.861908435821533
27,27,0.2532467544078827,,,2.421405076980591,,,,
28,28,,,,,,,0.03125,3.857630491256714
28,28,0.25974026322364807,,,2.4032535552978516,,,,
29,29,,0.26623377203941345,0.45730870962142944,,2.384237766265869,0.000268201605649665,,
29,29,,,,,,,0.0,3.8341288566589355
29,29,0.26623377203941345,,,2.384237766265869,,,,
30,30,,,,,,,0.0,3.8275513648986816
30,30,0.2532467544078827,,,2.363814353942871,,,,
31,31,,,,,,,0.0,3.813849925994873
31,31,0.2857142984867096,,,2.343076705932617,,,,
32,32,,,,,,,0.0,3.8519511222839355
32,32,0.25974026322364807,,,2.3264198303222656,,,,
33,33,,,,,,,0.0,3.8310203552246094
33,33,0.3181818127632141,,,2.311656951904297,,,,
34,34,,,,,,,0.0,3.828765869140625
34,34,0.26623377203941345,,,2.27695631980896,,,,
35,35,,,,,,,0.0,3.8313779830932617
35,35,0.27272728085517883,,,2.246455192565918,,,,
36,36,,,,,,,0.0,3.7936699390411377
36,36,0.3246753215789795,,,2.2320876121520996,,,,
37,37,,,,,,,0.0,3.7736165523529053
37,37,0.3311688303947449,,,2.193480968475342,,,,
38,38,,,,,,,0.0,3.7827372550964355
38,38,0.29870128631591797,,,2.1639509201049805,,,,
39,39,,0.3571428656578064,2.435572624206543,,2.1468043327331543,0.00022948789410293102,,
39,39,,,,,,,0.0,3.744147300720215
39,39,0.3571428656578064,,,2.1468043327331543,,,,
40,40,,,,,,,0.0,3.7164015769958496
40,40,0.3636363744735718,,,2.1133267879486084,,,,
41,41,,,,,,,0.0,3.724714756011963
41,41,0.33766233921051025,,,2.0733120441436768,,,,
42,42,,,,,,,0.0,3.710963249206543
42,42,0.37012988328933716,,,2.0624172687530518,,,,
43,43,,,,,,,0.03125,3.6977105140686035
43,43,0.4025973975658417,,,2.0208451747894287,,,,
44,44,,,,,,,0.03125,3.702536106109619
44,44,0.40909090638160706,,,1.9829597473144531,,,,
45,45,,,,,,,0.03125,3.686000108718872
45,45,0.40909090638160706,,,1.9724171161651611,,,,
46,46,,,,,,,0.0,3.685208797454834
46,46,0.4350649416446686,,,1.9137862920761108,,,,
47,47,,,,,,,0.03125,3.6818413734436035
47,47,0.4285714328289032,,,1.900963306427002,,,,
48,48,,,,,,,0.03125,3.649566173553467
48,48,0.41558441519737244,,,1.854514241218567,,,,
49,49,,0.48051947355270386,3.3193657398223877,,1.8369275331497192,0.00018118675507139415,,
49,49,,,,,,,0.0,3.6878113746643066
