epoch,step,train/acc_epoch,train/acc_step,train/grad_norm,train/loss_epoch,train/loss_step,train/lr,val/acc,val/loss
0,0,,,,,,,0.0,2.985002279281616
0,0,0.03246753290295601,,,3.1666691303253174,,,,
1,1,,,,,,,0.0,3.0031046867370605
1,1,0.051948051899671555,,,3.1669869422912598,,,,
2,2,,,,,,,0.0,3.03749942779541
2,2,0.04545454680919647,,,3.1254286766052246,,,,
3,3,,,,,,,0.0,3.0803093910217285
3,3,0.04545454680919647,,,3.0618436336517334,,,,
4,4,,,,,,,0.0,3.126016616821289
4,4,0.05844155699014664,,,2.9995081424713135,,,,
5,5,,,,,,,0.0,3.1753287315368652
5,5,0.12337662279605865,,,2.948751449584961,,,,
6,6,,,,,,,0.0,3.2267990112304688
6,6,0.12337662279605865,,,2.9065439701080322,,,,
7,7,,,,,,,0.0,3.277926206588745
7,7,0.12337662279605865,,,2.8673648834228516,,,,
8,8,,,,,,,0.0,3.3260271549224854
8,8,0.12337662279605865,,,2.8325817584991455,,,,
9,9,,0.12987013161182404,0.758538544178009,,2.8022806644439697,0.0002699999895412475,,
9,9,,,,,,,0.0,3.370486259460449
9,9,0.12987013161182404,,,2.8022806644439697,,,,
10,10,,,,,,,0.0,3.412870407104492
10,10,0.12987013161182404,,,2.773786783218384,,,,
11,11,,,,,,,0.0,3.453866481781006
11,11,0.1428571492433548,,,2.7491261959075928,,,,
12,12,,,,,,,0.0,3.4976534843444824
12,12,0.13636364042758942,,,2.726598024368286,,,,
13,13,,,,,,,0.0,3.544900894165039
13,13,0.12987013161182404,,,2.7078912258148193,,,,
14,14,,,,,,,0.0,3.592725992202759
14,14,0.1428571492433548,,,2.6912028789520264,,,,
15,15,,,,,,,0.0625,3.6357157230377197
15,15,0.13636364042758942,,,2.675950765609741,,,,
16,16,,,,,,,0.0625,3.6712214946746826
16,16,0.15584415197372437,,,2.6624178886413574,,,,
17,17,,,,,,,0.0625,3.6985092163085938
17,17,0.1753246784210205,,,2.6486170291900635,,,,
18,18,,,,,,,0.0625,3.7195117473602295
18,18,0.16233766078948975,,,2.6362147331237793,,,,
19,19,,0.15584415197372437,0.3634827435016632,,2.6236660480499268,0.00029265848570503294,,
19,19,,,,,,,0.0625,3.736659526824951
19,19,0.15584415197372437,,,2.6236660480499268,,,,
20,20,,,,,,,0.0625,3.751026153564453
20,20,0.1753246784210205,,,2.611016273498535,,,,
21,21,,,,,,,0.0625,3.7595555782318115
21,21,0.1753246784210205,,,2.597923517227173,,,,
22,22,,,,,,,0.0625,3.7601513862609863
22,22,0.1818181872367859,,,2.5859603881835938,,,,
23,23,,,,,,,0.03125,3.760533332824707
23,23,0.1753246784210205,,,2.5738930702209473,,,,
24,24,,,,,,,0.0,3.765212059020996
24,24,0.20129869878292084,,,2.5605342388153076,,,,
25,25,,,,,,,0.0,3.759673595428467
25,25,0.20129869878292084,,,2.5470995903015137,,,,
26,26,,,,,,,0.0,3.7422235012054443
26,26,0.19480518996715546,,,2.534374713897705,,,,
27,27,,,,,,,0.0,3.7575535774230957
27,27,0.19480518996715546,,,2.5216147899627686,,,,
28,28,,,,,,,0.0,3.728178024291992
28,28,0.20129869878292084,,,2.507594347000122,,,,
29,29,,0.20129869878292084,0.789859414100647,,2.4956207275390625,0.000268201605649665,,
29,29,,,,,,,0.0,3.771944522857666
29,29,0.20129869878292084,,,2.4956207275390625,,,,
30,30,,,,,,,0.0,3.7409024238586426
30,30,0.22727273404598236,,,2.4885337352752686,,,,
31,31,,,,,,,0.0,3.8044605255126953
31,31,0.22077922523021698,,,2.474320411682129,,,,
32,32,,,,,,,0.0,3.792513370513916
32,32,0.23376622796058655,,,2.4623208045959473,,,,
33,33,,,,,,,0.0,3.7520480155944824
33,33,0.2467532455921173,,,2.443485975265503,,,,
34,34,,,,,,,0.0,3.7947375774383545
34,34,0.2467532455921173,,,2.438892364501953,,,,
35,35,,,,,,,0.0,3.7840945720672607
35,35,0.24025973677635193,,,2.436694383621216,,,,
36,36,,,,,,,0.0,3.819415807723999
36,36,0.23376622796058655,,,2.4087541103363037,,,,
37,37,,,,,,,0.0,3.826218605041504
37,37,0.25974026322364807,,,2.4051430225372314,,,,
38,38,,,,,,,0.0,3.7697908878326416
38,38,0.29870128631591797,,,2.383646011352539,,,,
39,39,,0.2467532455921173,3.2731730937957764,,2.388693332672119,0.00022948789410293102,,
39,39,,,,,,,0.0,3.823476552963257
39,39,0.2467532455921173,,,2.388693332672119,,,,
40,40,,,,,,,0.0,3.8129425048828125
40,40,0.27272728085517883,,,2.373183250427246,,,,
41,41,,,,,,,0.0,3.8580374717712402
41,41,0.29870128631591797,,,2.3506722450256348,,,,
42,42,,,,,,,0.0,3.8915538787841797
42,42,0.29870128631591797,,,2.345139265060425,,,,
43,43,,,,,,,0.0,3.8198366165161133
43,43,0.2922077775001526,,,2.3298709392547607,,,,
44,44,,,,,,,0.0,3.8175954818725586
44,44,0.31168830394744873,,,2.3129429817199707,,,,
45,45,,,,,,,0.0,3.911203384399414
45,45,0.2922077775001526,,,2.304227113723755,,,,
46,46,,,,,,,0.0,3.8860297203063965
46,46,0.2922077775001526,,,2.2962238788604736,,,,
47,47,,,,,,,0.0,3.860469341278076
47,47,0.30519479513168335,,,2.282712936401367,,,,
48,48,,,,,,,0.0,3.8343868255615234
48,48,0.29870128631591797,,,2.269089698791504,,,,
49,49,,0.3246753215789795,1.9982218742370605,,2.259469985961914,0.00018118675507139415,,
49,49,,,,,,,0.0,3.858112335205078
49,49,0.3246753215789795,,,2.259469985961914,,,,
50,50,,,,,,,0.0,3.8964853286743164
50,50,0.3181818127632141,,,2.2438437938690186,,,,
51,51,,,,,,,0.0,3.902369499206543
51,51,0.30519479513168335,,,2.232353448867798,,,,
52,52,,,,,,,0.0,3.883297920227051
52,52,0.3246753215789795,,,2.2194225788116455,,,,
53,53,,,,,,,0.0,3.84653377532959
