epoch,step,train/acc_epoch,train/acc_step,train/grad_norm,train/loss_epoch,train/loss_step,train/lr,val/acc,val/loss
0,0,,,,,,,0.04040404036641121,3.100536584854126
0,0,0.0,,,nan,,,,
1,1,,,,,,,0.02480270527303219,3.0868799686431885
1,1,0.05447470769286156,,,3.086515188217163,,,,
2,2,,,,,,,0.0329289436340332,3.08779239654541
2,2,0.030581040307879448,,,3.0802273750305176,,,,
3,3,,,,,,,0.009411764331161976,3.06400728225708
3,3,0.015015015378594398,,,3.1016640663146973,,,,
4,4,,,,,,,0.02139037474989891,3.090282440185547
4,4,0.017751479521393776,,,3.098580837249756,,,,
5,5,,,,,,,0.01075268816202879,3.104670763015747
5,5,0.0066006602719426155,,,3.0981333255767822,,,,
6,6,,,,,,,0.012012012302875519,3.081456422805786
6,6,0.061135370284318924,,,3.0441458225250244,,,,
7,7,,,,,,,0.010084033943712711,3.1004202365875244
7,7,0.01550387591123581,,,3.0845446586608887,,,,
8,8,,,,,,,0.0020020019728690386,3.1061060428619385
8,8,0.014553014189004898,,,3.0978105068206787,,,,
9,9,,0.0,0.0,,nan,5.4000001910026185e-06,,
9,9,,,,,,,0.006872852332890034,3.0917365550994873
9,9,0.0,,,nan,,,,
10,10,,,,,,,0.022022021934390068,3.080080032348633
10,10,0.004004003945738077,,,3.085585594177246,,,,
11,11,,,,,,,0.01976284570991993,3.077754497528076
11,11,0.029304029420018196,,,3.08024263381958,,,,
12,12,,,,,,,0.022140221670269966,3.089223861694336
12,12,0.02512562833726406,,,3.1043760776519775,,,,
13,13,,,,,,,0.018259935081005096,3.0813472270965576
13,13,0.02666666731238365,,,3.1022396087646484,,,,
14,14,,,,,,,0.0235294122248888,3.0741727352142334
14,14,0.020522387698292732,,,3.069758653640747,,,,
15,15,,,,,,,0.009523809887468815,3.0509140491485596
15,15,0.028117358684539795,,,3.058698892593384,,,,
16,16,,,,,,,0.01796407252550125,3.0882298946380615
16,16,0.01862197369337082,,,3.067213773727417,,,,
17,17,,,,,,,0.03897549957036972,3.0234200954437256
17,17,0.015015015378594398,,,3.054804801940918,,,,
18,18,,,,,,,0.05244755372405052,3.052502155303955
18,18,0.04259259253740311,,,3.0415799617767334,,,,
19,19,,0.0342298299074173,0.8188116550445557,,3.046607494354248,1.140000040322775e-05,,
19,19,,,,,,,0.03125,3.0614166259765625
19,19,0.0342298299074173,,,3.046607494354248,,,,
20,20,,,,,,,0.08912386745214462,3.026553153991699
20,20,0.03465346619486809,,,3.045405387878418,,,,
21,21,,,,,,,0.02459016442298889,3.0637807846069336
21,21,0.01550387591123581,,,3.058260679244995,,,,
22,22,,,,,,,0.0546875,3.057403564453125
22,22,0.048128340393304825,,,3.042947769165039,,,,
23,23,,,,,,,0.027372263371944427,3.045677423477173
23,23,0.08527132123708725,,,3.0331878662109375,,,,
24,24,,,,,,,0.07717041671276093,3.0230607986450195
24,24,0.12012012302875519,,,3.0247747898101807,,,,
25,25,,,,,,,0.043043043464422226,3.046374559402466
