epoch,step,train/acc_epoch,train/acc_step,train/grad_norm,train/loss_epoch,train/loss_step,train/lr,val/acc,val/loss
0,0,,,,,,,0.0,3.04833984375
0,0,0.012987012974917889,,,3.151278495788574,,,,
1,1,,,,,,,0.0,3.05078125
1,1,0.012987012974917889,,,3.1440746784210205,,,,
2,2,,,,,,,0.0,3.06396484375
2,2,0.012987012974917889,,,3.1090705394744873,,,,
3,3,,,,,,,0.0,3.09619140625
3,3,0.09740259498357773,,,3.0538759231567383,,,,
4,4,,,,,,,0.0,3.13720703125
4,4,0.11038961261510849,,,2.9955356121063232,,,,
5,5,,,,,,,0.0,3.1865234375
5,5,0.12337662279605865,,,2.947544574737549,,,,
6,6,,,,,,,0.0,3.23583984375
6,6,0.10389610379934311,,,2.9074676036834717,,,,
7,7,,,,,,,0.0,3.29345703125
7,7,0.12337662279605865,,,2.8664772510528564,,,,
8,8,,,,,,,0.0,3.35595703125
8,8,0.12337662279605865,,,2.833198070526123,,,,
9,9,,0.12337662279605865,0.8011460900306702,,2.8063108921051025,0.0002699999895412475,,
9,9,,,,,,,0.0,3.42724609375
9,9,0.12337662279605865,,,2.8063108921051025,,,,
10,10,,,,,,,0.0,3.5068359375
10,10,0.1428571492433548,,,2.7778003215789795,,,,
11,11,,,,,,,0.0,3.58544921875
11,11,0.1428571492433548,,,2.7572038173675537,,,,
12,12,,,,,,,0.0,3.6591796875
12,12,0.1753246784210205,,,2.7379262447357178,,,,
13,13,,,,,,,0.0,3.72021484375
13,13,0.15584415197372437,,,2.7201197147369385,,,,
14,14,,,,,,,0.0,3.77294921875
14,14,0.16233766078948975,,,2.701298713684082,,,,
15,15,,,,,,,0.0,3.80859375
15,15,0.14935064315795898,,,2.6879565715789795,,,,
16,16,,,,,,,0.0,3.83642578125
16,16,0.1428571492433548,,,2.6756796836853027,,,,
17,17,,,,,,,0.0,3.85302734375
17,17,0.15584415197372437,,,2.658583641052246,,,,
18,18,,,,,,,0.0,3.86572265625
18,18,0.18831168115139008,,,2.6480824947357178,,,,
19,19,,0.1818181872367859,0.39548587799072266,,2.6381900310516357,0.00029265848570503294,,
19,19,,,,,,,0.0,3.880859375
19,19,0.1818181872367859,,,2.6381900310516357,,,,
20,20,,,,,,,0.0,3.89501953125
20,20,0.18831168115139008,,,2.626674175262451,,,,
21,21,,,,,,,0.0,3.90966796875
21,21,0.1428571492433548,,,2.6116578578948975,,,,
22,22,,,,,,,0.0,3.91748046875
22,22,0.14935064315795898,,,2.599989891052246,,,,
23,23,,,,,,,0.0,3.9208984375
23,23,0.20129869878292084,,,2.586444854736328,,,,
24,24,,,,,,,0.0,3.90966796875
24,24,0.19480518996715546,,,2.579190254211426,,,,
25,25,,,,,,,0.0,3.89501953125
25,25,0.20779220759868622,,,2.559278726577759,,,,
26,26,,,,,,,0.0,3.890625
26,26,0.20129869878292084,,,2.549107074737549,,,,
27,27,,,,,,,0.0,3.8984375
27,27,0.22077922523021698,,,2.544414520263672,,,,
28,28,,,,,,,0.0,3.91552734375
28,28,0.19480518996715546,,,2.526151657104492,,,,
29,29,,0.2142857164144516,0.6818340420722961,,2.5165634155273438,0.000268201605649665,,
29,29,,,,,,,0.0,3.9404296875
29,29,0.2142857164144516,,,2.5165634155273438,,,,
30,30,,,,,,,0.0,3.9541015625
30,30,0.20779220759868622,,,2.505986213684082,,,,
31,31,,,,,,,0.0,3.96826171875
31,31,0.2142857164144516,,,2.4958653450012207,,,,
32,32,,,,,,,0.0,3.97900390625
32,32,0.2142857164144516,,,2.4787185192108154,,,,
33,33,,,,,,,0.0,3.92626953125
33,33,0.20129869878292084,,,2.467684745788574,,,,
34,34,,,,,,,0.0,3.966796875
34,34,0.20779220759868622,,,2.4787440299987793,,,,
35,35,,,,,,,0.0,4.025390625
35,35,0.22727273404598236,,,2.4478108882904053,,,,
36,36,,,,,,,0.0,4.05029296875
36,36,0.20779220759868622,,,2.4381468296051025,,,,
37,37,,,,,,,0.0,4.0078125
37,37,0.2142857164144516,,,2.4327821731567383,,,,
38,38,,,,,,,0.0,3.96923828125
38,38,0.24025973677635193,,,2.415825366973877,,,,
39,39,,0.25974026322364807,0.9425841569900513,,2.398310661315918,0.00022948789410293102,,
39,39,,,,,,,0.0,3.9599609375
39,39,0.25974026322364807,,,2.398310661315918,,,,
40,40,,,,,,,0.0,3.8828125
40,40,0.23376622796058655,,,2.3883674144744873,,,,
41,41,,,,,,,0.0,4.0380859375
41,41,0.22727273404598236,,,2.3823177814483643,,,,
42,42,,,,,,,0.0,3.97265625
42,42,0.22077922523021698,,,2.37075138092041,,,,
43,43,,,,,,,0.0,3.95654296875
43,43,0.23376622796058655,,,2.3595526218414307,,,,
44,44,,,,,,,0.0,4.05810546875
44,44,0.23376622796058655,,,2.351201057434082,,,,
45,45,,,,,,,0.0,4.02197265625
45,45,0.2857142984867096,,,2.332646369934082,,,,
46,46,,,,,,,0.0,3.9521484375
46,46,0.25974026322364807,,,2.3223860263824463,,,,
47,47,,,,,,,0.0,4.04150390625
47,47,0.25974026322364807,,,2.30747127532959,,,,
48,48,,,,,,,0.0,3.96826171875
48,48,0.27272728085517883,,,2.2917702198028564,,,,
49,49,,0.31168830394744873,2.9819188117980957,,2.291224956512451,0.00018118675507139415,,
