epoch,step,train/acc_epoch,train/acc_step,train/grad_norm,train/loss_epoch,train/loss_step,train/lr,val/acc,val/loss
0,0,,,,,,,0.0,3.0874722003936768
0,0,0.051948051899671555,,,3.055973768234253,,,,
1,1,,,,,,,0.0,3.08915376663208
1,1,0.051948051899671555,,,3.055973768234253,,,,
2,2,,,,,,,0.0,3.092517375946045
2,2,0.051948051899671555,,,3.0519216060638428,,,,
3,3,,,,,,,0.0,3.0976271629333496
3,3,0.06493506580591202,,,3.043863296508789,,,,
4,4,,,,,,,0.0,3.1045331954956055
4,4,0.08441558480262756,,,3.031999349594116,,,,
5,5,,,,,,,0.0,3.113199234008789
5,5,0.09740259498357773,,,3.0165669918060303,,,,
6,6,,,,,,,0.0,3.12383770942688
6,6,0.11688311398029327,,,2.9980618953704834,,,,
7,7,,,,,,,0.0,3.1364998817443848
7,7,0.1428571492433548,,,2.977050304412842,,,,
8,8,,,,,,,0.0,3.151695728302002
8,8,0.11038961261510849,,,2.954423666000366,,,,
9,9,,0.10389610379934311,1.1862211227416992,,2.9311063289642334,5.400000009103678e-05,,
9,9,,,,,,,0.0,3.1697041988372803
9,9,0.10389610379934311,,,2.9311063289642334,,,,
10,10,,,,,,,0.0,3.190976142883301
10,10,0.11038961261510849,,,2.908158540725708,,,,
11,11,,,,,,,0.0,3.2156758308410645
11,11,0.11038961261510849,,,2.8862082958221436,,,,
12,12,,,,,,,0.0,3.2434017658233643
12,12,0.11038961261510849,,,2.865408420562744,,,,
13,13,,,,,,,0.0,3.2732996940612793
13,13,0.11038961261510849,,,2.8455889225006104,,,,
14,14,,,,,,,0.0,3.3043713569641113
14,14,0.12337662279605865,,,2.8266098499298096,,,,
15,15,,,,,,,0.0,3.335526466369629
15,15,0.13636364042758942,,,2.8085434436798096,,,,
16,16,,,,,,,0.0,3.3660426139831543
16,16,0.1428571492433548,,,2.791419506072998,,,,
17,17,,,,,,,0.0,3.395458936691284
17,17,0.1428571492433548,,,2.775134563446045,,,,
18,18,,,,,,,0.0,3.423753023147583
18,18,0.1428571492433548,,,2.7594056129455566,,,,
19,19,,0.14935064315795898,0.7486279010772705,,2.744006872177124,0.0001140000022132881,,
19,19,,,,,,,0.0,3.4511544704437256
19,19,0.14935064315795898,,,2.744006872177124,,,,
20,20,,,,,,,0.0,3.477604866027832
20,20,0.14935064315795898,,,2.729069948196411,,,,
21,21,,,,,,,0.0,3.5028088092803955
21,21,0.16883116960525513,,,2.714724063873291,,,,
22,22,,,,,,,0.0,3.526031494140625
22,22,0.16883116960525513,,,2.700958728790283,,,,
23,23,,,,,,,0.0,3.5464229583740234
23,23,0.16233766078948975,,,2.6874046325683594,,,,
24,24,,,,,,,0.0,3.563701629638672
24,24,0.15584415197372437,,,2.6737782955169678,,,,
25,25,,,,,,,0.0,3.578298807144165
25,25,0.15584415197372437,,,2.6601459980010986,,,,
26,26,,,,,,,0.0,3.590944766998291
26,26,0.16233766078948975,,,2.6468513011932373,,,,
27,27,,,,,,,0.0,3.6027719974517822
27,27,0.18831168115139008,,,2.6337928771972656,,,,
28,28,,,,,,,0.0,3.6147754192352295
28,28,0.1753246784210205,,,2.6206748485565186,,,,
29,29,,0.15584415197372437,0.4603612422943115,,2.607653856277466,0.0001740000006975606,,
29,29,,,,,,,0.0,3.6275272369384766
29,29,0.15584415197372437,,,2.607653856277466,,,,
30,30,,,,,,,0.0,3.6414313316345215
30,30,0.16233766078948975,,,2.5948503017425537,,,,
31,31,,,,,,,0.0,3.6565515995025635
31,31,0.16883116960525513,,,2.5817975997924805,,,,
32,32,,,,,,,0.0,3.6731839179992676
32,32,0.1818181872367859,,,2.568410873413086,,,,
33,33,,,,,,,0.0,3.6917903423309326
33,33,0.22727273404598236,,,2.5551116466522217,,,,
34,34,,,,,,,0.0,3.711230754852295
34,34,0.22077922523021698,,,2.5414538383483887,,,,
35,35,,,,,,,0.0,3.7279562950134277
35,35,0.2142857164144516,,,2.5271098613739014,,,,
36,36,,,,,,,0.03125,3.7373709678649902
36,36,0.2142857164144516,,,2.5124831199645996,,,,
37,37,,,,,,,0.03125,3.738952875137329
37,37,0.19480518996715546,,,2.4972684383392334,,,,
38,38,,,,,,,0.03125,3.739342451095581
38,38,0.22727273404598236,,,2.48146915435791,,,,
39,39,,0.23376622796058655,0.39804500341415405,,2.465479850769043,0.00023400000645779073,,
39,39,,,,,,,0.03125,3.746093273162842
39,39,0.23376622796058655,,,2.465479850769043,,,,
40,40,,,,,,,0.03125,3.752711534500122
40,40,0.24025973677635193,,,2.4485137462615967,,,,
41,41,,,,,,,0.03125,3.7511096000671387
41,41,0.24025973677635193,,,2.4311435222625732,,,,
42,42,,,,,,,0.03125,3.755903482437134
42,42,0.25974026322364807,,,2.413031578063965,,,,
43,43,,,,,,,0.03125,3.7435574531555176
43,43,0.2467532455921173,,,2.393998146057129,,,,
44,44,,,,,,,0.03125,3.7494583129882812
44,44,0.2467532455921173,,,2.3739583492279053,,,,
45,45,,,,,,,0.0,3.707746744155884
45,45,0.29870128631591797,,,2.358879566192627,,,,
46,46,,,,,,,0.0,3.7543959617614746
46,46,0.2467532455921173,,,2.367449998855591,,,,
47,47,,,,,,,0.0,3.7518205642700195
47,47,0.2857142984867096,,,2.3185112476348877,,,,
48,48,,,,,,,0.0,3.7191226482391357
48,48,0.30519479513168335,,,2.2902321815490723,,,,
49,49,,0.26623377203941345,1.9196618795394897,,2.2859585285186768,0.00029399999766610563,,
49,49,,,,,,,0.0,3.757908344268799
