epoch,step,train/acc_epoch,train/acc_step,train/grad_norm,train/loss_epoch,train/loss_step,train/lr,val/acc,val/loss
0,0,,,,,,,0.0,2.985002279281616
0,0,0.03246753290295601,,,3.1666691303253174,,,,
1,1,,,,,,,0.0,3.0031518936157227
1,1,0.03246753290295601,,,3.1666691303253174,,,,
2,2,,,,,,,0.0,3.03770112991333
2,2,0.04545454680919647,,,3.12634015083313,,,,
3,3,,,,,,,0.0,3.0805468559265137
3,3,0.04545454680919647,,,3.0608887672424316,,,,
4,4,,,,,,,0.0,3.126131057739258
4,4,0.05844155699014664,,,2.998558759689331,,,,
5,5,,,,,,,0.0,3.175194263458252
5,5,0.11688311398029327,,,2.9487380981445312,,,,
6,6,,,,,,,0.0,3.226576805114746
6,6,0.12337662279605865,,,2.9059817790985107,,,,
7,7,,,,,,,0.0,3.277764081954956
7,7,0.12337662279605865,,,2.86681866645813,,,,
8,8,,,,,,,0.0,3.3258700370788574
8,8,0.12337662279605865,,,2.831568479537964,,,,
9,9,,0.12987013161182404,0.7591353058815002,,2.800459146499634,0.0002699999895412475,,
9,9,,,,,,,0.0,3.3704147338867188
9,9,0.12987013161182404,,,2.800459146499634,,,,
10,10,,,,,,,0.0,3.413233757019043
10,10,0.12987013161182404,,,2.7725532054901123,,,,
11,11,,,,,,,0.0,3.454465866088867
11,11,0.1428571492433548,,,2.7469661235809326,,,,
12,12,,,,,,,0.0,3.498535394668579
12,12,0.13636364042758942,,,2.7250797748565674,,,,
13,13,,,,,,,0.0,3.546154260635376
13,13,0.13636364042758942,,,2.7057571411132812,,,,
14,14,,,,,,,0.0,3.593991994857788
14,14,0.14935064315795898,,,2.6885411739349365,,,,
15,15,,,,,,,0.0625,3.6370983123779297
15,15,0.13636364042758942,,,2.673140525817871,,,,
16,16,,,,,,,0.0625,3.67226243019104
16,16,0.15584415197372437,,,2.6590700149536133,,,,
17,17,,,,,,,0.0625,3.6992735862731934
17,17,0.16883116960525513,,,2.6457364559173584,,,,
18,18,,,,,,,0.0625,3.7201714515686035
18,18,0.1753246784210205,,,2.6326687335968018,,,,
19,19,,0.16233766078948975,0.3639998137950897,,2.619624137878418,0.00029265848570503294,,
19,19,,,,,,,0.0625,3.7371459007263184
19,19,0.16233766078948975,,,2.619624137878418,,,,
20,20,,,,,,,0.0625,3.74991512298584
20,20,0.16883116960525513,,,2.6066982746124268,,,,
21,21,,,,,,,0.0625,3.7565994262695312
21,21,0.1753246784210205,,,2.5938034057617188,,,,
22,22,,,,,,,0.0625,3.7580432891845703
22,22,0.1818181872367859,,,2.5806806087493896,,,,
23,23,,,,,,,0.03125,3.760215997695923
23,23,0.1818181872367859,,,2.5673635005950928,,,,
24,24,,,,,,,0.0,3.759432315826416
24,24,0.19480518996715546,,,2.553928852081299,,,,
25,25,,,,,,,0.0,3.7461957931518555
25,25,0.19480518996715546,,,2.5403363704681396,,,,
26,26,,,,,,,0.0,3.741112470626831
26,26,0.19480518996715546,,,2.5263593196868896,,,,
27,27,,,,,,,0.0,3.741663932800293
27,27,0.19480518996715546,,,2.512190341949463,,,,
28,28,,,,,,,0.0,3.7186460494995117
28,28,0.20779220759868622,,,2.4981114864349365,,,,
29,29,,0.22077922523021698,0.6969231367111206,,2.4844653606414795,0.000268201605649665,,
29,29,,,,,,,0.0,3.772657871246338
29,29,0.22077922523021698,,,2.4844653606414795,,,,
30,30,,,,,,,0.0,3.721966505050659
30,30,0.2142857164144516,,,2.482513666152954,,,,
31,31,,,,,,,0.0,3.8258116245269775
31,31,0.22077922523021698,,,2.4786078929901123,,,,
32,32,,,,,,,0.0,3.8422484397888184
32,32,0.25974026322364807,,,2.4586501121520996,,,,
33,33,,,,,,,0.0,3.805389881134033
33,33,0.25974026322364807,,,2.4511640071868896,,,,
34,34,,,,,,,0.0,3.75966477394104
34,34,0.27272728085517883,,,2.4261815547943115,,,,
35,35,,,,,,,0.0,3.764327049255371
35,35,0.24025973677635193,,,2.4238784313201904,,,,
36,36,,,,,,,0.0,3.7836241722106934
36,36,0.26623377203941345,,,2.4007890224456787,,,,
37,37,,,,,,,0.0,3.8019113540649414
37,37,0.26623377203941345,,,2.3943698406219482,,,,
38,38,,,,,,,0.0,3.8011136054992676
38,38,0.2792207896709442,,,2.3761861324310303,,,,
39,39,,0.2922077775001526,1.221114158630371,,2.3648183345794678,0.00022948789410293102,,
39,39,,,,,,,0.0,3.797513961791992
39,39,0.2922077775001526,,,2.3648183345794678,,,,
40,40,,,,,,,0.0,3.7696151733398438
40,40,0.25974026322364807,,,2.356477737426758,,,,
41,41,,,,,,,0.0,3.8370606899261475
41,41,0.29870128631591797,,,2.3614728450775146,,,,
42,42,,,,,,,0.0,3.852484941482544
42,42,0.26623377203941345,,,2.337895154953003,,,,
43,43,,,,,,,0.0,3.843568801879883
43,43,0.30519479513168335,,,2.319704532623291,,,,
44,44,,,,,,,0.0,3.858551025390625
44,44,0.2922077775001526,,,2.3123505115509033,,,,
45,45,,,,,,,0.0,3.8545825481414795
45,45,0.2922077775001526,,,2.2934958934783936,,,,
46,46,,,,,,,0.0,3.845409870147705
46,46,0.2857142984867096,,,2.2866756916046143,,,,
47,47,,,,,,,0.0,3.862466812133789
47,47,0.3181818127632141,,,2.2703773975372314,,,,
48,48,,,,,,,0.0,3.8904075622558594
48,48,0.31168830394744873,,,2.25994873046875,,,,
49,49,,0.31168830394744873,1.3316956758499146,,2.2457773685455322,0.00018118675507139415,,
49,49,,,,,,,0.0,3.885934352874756
49,49,0.31168830394744873,,,2.2457773685455322,,,,
50,50,,,,,,,0.0,3.8969452381134033
50,50,0.29870128631591797,,,2.2359602451324463,,,,
51,51,,,,,,,0.0,3.91542911529541
51,51,0.31168830394744873,,,2.2210769653320312,,,,
52,52,,,,,,,0.0,3.8643245697021484
52,52,0.3311688303947449,,,2.209768533706665,,,,
53,53,,,,,,,0.0,3.924513816833496
